"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"58b20a24c352cc0001ed554b",18,7,393.800000011921,"fast","2"
"58b20a24c352cc0001ed554b",19,6,407.399999976158,"slow","1"
"58b20a24c352cc0001ed554b",20,8,354.300000011921,"fast","2"
"58b20a24c352cc0001ed554b",21,7,439.799999982119,"fast","1"
"58b20a24c352cc0001ed554b",22,5,382.600000023842,"slow","1"
"58b20a24c352cc0001ed554b",23,9,381.59999999404,"slow","3"
"58b20a24c352cc0001ed554b",24,8,477,"slow","2"
"5914b7b50a4b9d0001add64f",1,4,389.899999991059,"slow","1"
"5914b7b50a4b9d0001add64f",2,7,400.09999999404,"fast","1"
"5914b7b50a4b9d0001add64f",3,7,368.20000000298,"slow","1"
"5914b7b50a4b9d0001add64f",4,7,437.300000011921,"fast","2"
"5914b7b50a4b9d0001add64f",5,6,478.200000017881,"fast","3"
"5914b7b50a4b9d0001add64f",6,6,421,"slow","1"
"5914b7b50a4b9d0001add64f",7,8,367.699999988079,"slow","2"
"5914b7b50a4b9d0001add64f",8,8,390.100000008941,"slow","3"
"5914b7b50a4b9d0001add64f",9,6,324.600000008941,"slow","3"
"5914b7b50a4b9d0001add64f",10,7,407.399999991059,"slow","3"
"5914b7b50a4b9d0001add64f",11,8,390.200000017881,"fast","2"
"5914b7b50a4b9d0001add64f",12,7,379.20000000298,"slow","2"
"5914b7b50a4b9d0001add64f",13,6,387.5,"fast","1"
"5914b7b50a4b9d0001add64f",14,5,354.799999982119,"fast","2"
"5914b7b50a4b9d0001add64f",15,9,377.29999999702,"slow","3"
"5914b7b50a4b9d0001add64f",16,5,412.799999982119,"slow","1"
"5914b7b50a4b9d0001add64f",18,6,343.09999999404,"slow","2"
"5914b7b50a4b9d0001add64f",19,9,397.399999991059,"fast","3"
"5914b7b50a4b9d0001add64f",20,5,351.100000008941,"fast","1"
"5914b7b50a4b9d0001add64f",21,5,345.699999988079,"slow","2"
"5914b7b50a4b9d0001add64f",22,6,368.70000000298,"fast","2"
"5914b7b50a4b9d0001add64f",23,4,377.29999999702,"fast","1"
"5914b7b50a4b9d0001add64f",24,8,401.79999999702,"fast","3"
"595c69efd8bd8d000154dd23",1,6,430.200000047684,"slow","2"
"595c69efd8bd8d000154dd23",2,6,481.800000190735,"fast","2"
"595c69efd8bd8d000154dd23",3,8,469.299999952316,"slow","2"
"595c69efd8bd8d000154dd23",4,6,395.600000143051,"fast","3"
"595c69efd8bd8d000154dd23",5,6,397.599999904633,"slow","1"
"595c69efd8bd8d000154dd23",6,7,408.600000143051,"fast","2"
"595c69efd8bd8d000154dd23",7,6,380.799999952316,"slow","3"
"595c69efd8bd8d000154dd23",8,4,385.700000047684,"slow","1"
"595c69efd8bd8d000154dd23",9,9,391.600000143051,"fast","3"
"595c69efd8bd8d000154dd23",10,5,392,"fast","2"
"595c69efd8bd8d000154dd23",11,6,350.800000190735,"fast","1"
"595c69efd8bd8d000154dd23",12,9,373,"slow","3"
"595c69efd8bd8d000154dd23",13,5,378.600000143051,"slow","1"
"595c69efd8bd8d000154dd23",14,7,385.199999809265,"slow","2"
"595c69efd8bd8d000154dd23",15,5,410.200000047684,"slow","2"
"595c69efd8bd8d000154dd23",16,8,432.899999856949,"fast","2"
"595c69efd8bd8d000154dd23",17,7,410.399999856949,"fast","3"
"595c69efd8bd8d000154dd23",18,5,393.599999904633,"fast","1"
"595c69efd8bd8d000154dd23",19,8,366.5,"slow","3"
"595c69efd8bd8d000154dd23",20,8,400.599999904633,"fast","3"
"595c69efd8bd8d000154dd23",21,7,421.700000047684,"slow","3"
"595c69efd8bd8d000154dd23",22,4,377.100000143051,"fast","1"
"595c69efd8bd8d000154dd23",23,7,403.800000190735,"fast","1"
"595c69efd8bd8d000154dd23",24,7,483.400000095367,"slow","1"
"59e1e3a23e4b5a00016a9c17",1,6,297.199999928474,"slow","3"
"59e1e3a23e4b5a00016a9c17",2,7,317.799999952316,"fast","3"
"59e1e3a23e4b5a00016a9c17",3,8,340.5,"slow","2"
"59e1e3a23e4b5a00016a9c17",4,6,357.5,"fast","2"
"59e1e3a23e4b5a00016a9c17",5,9,359.699999928474,"fast","3"
"59e1e3a23e4b5a00016a9c17",6,6,344.600000023842,"fast","1"
"59e1e3a23e4b5a00016a9c17",7,5,319.199999928474,"fast","2"
"59e1e3a23e4b5a00016a9c17",8,5,362.300000071526,"slow","2"
"59e1e3a23e4b5a00016a9c17",9,5,338.800000071526,"slow","1"
"59e1e3a23e4b5a00016a9c17",10,4,395.5,"slow","1"
"59e1e3a23e4b5a00016a9c17",11,4,523,"fast","1"
"59e1e3a23e4b5a00016a9c17",12,5,397.5,"fast","1"
"59e1e3a23e4b5a00016a9c17",13,8,278.399999976158,"slow","3"
"59e1e3a23e4b5a00016a9c17",14,7,490,"fast","2"
"59e1e3a23e4b5a00016a9c17",15,7,437.099999904633,"slow","1"
"59e1e3a23e4b5a00016a9c17",16,8,292.700000047684,"fast","3"
"59e1e3a23e4b5a00016a9c17",17,6,412.600000023842,"slow","2"
"59e1e3a23e4b5a00016a9c17",18,6,343.700000047684,"fast","3"
"59e1e3a23e4b5a00016a9c17",19,6,405.300000071526,"slow","1"
"59e1e3a23e4b5a00016a9c17",20,7,318.899999976158,"slow","3"
"59e1e3a23e4b5a00016a9c17",21,9,361.299999952316,"slow","3"
"59e1e3a23e4b5a00016a9c17",22,7,485.799999952316,"fast","1"
"59e1e3a23e4b5a00016a9c17",23,8,567.600000143051,"fast","2"
"59e1e3a23e4b5a00016a9c17",24,7,486.399999976158,"slow","2"
"5a01ddf3728b1b0001ad8ad0",1,7,307.60000000149,"fast","1"
"5a01ddf3728b1b0001ad8ad0",2,7,390.19999999553,"slow","1"
"5a01ddf3728b1b0001ad8ad0",3,7,417.40000000596,"fast","2"
"5a01ddf3728b1b0001ad8ad0",4,8,415.09999999404,"fast","2"
"5a01ddf3728b1b0001ad8ad0",5,5,363.30000000447,"fast","2"
"5a01ddf3728b1b0001ad8ad0",6,5,346.30000000447,"slow","1"
"5a01ddf3728b1b0001ad8ad0",7,6,388.60000000149,"fast","3"
"5a01ddf3728b1b0001ad8ad0",8,4,337.40000000596,"fast","1"
"5a01ddf3728b1b0001ad8ad0",9,9,431.40000000596,"slow","3"
"5a01ddf3728b1b0001ad8ad0",10,7,404.60000000149,"slow","3"
"5a01ddf3728b1b0001ad8ad0",11,6,401.60000000149,"fast","2"
"5a01ddf3728b1b0001ad8ad0",12,9,398.69999999553,"fast","3"
"5a01ddf3728b1b0001ad8ad0",13,8,428.39999999851,"slow","3"
"5a01ddf3728b1b0001ad8ad0",14,6,355.899999991059,"slow","2"
"5a01ddf3728b1b0001ad8ad0",15,5,383.10000000149,"slow","2"
