within_triplet_counter,attention_state,participant,TD_rt,TD_trial_number,within_stream_position
3,fast,6f176,368.09999990463257,6.0,7
3,fast,6f176,357.1000000238418,12.0,9
2,fast,6f176,178.10000002384186,5.0,6
3,slow,6f176,586.1000000238419,15.0,6
2,slow,6f176,387.9000000953674,20.0,7
1,slow,6f176,347.89999997615814,22.0,7
2,fast,6f176,257.70000004768366,11.0,8
3,slow,6f176,367.6000000238418,24.0,9
1,fast,6f176,376.8999999761581,7.0,6
3,slow,6f176,287.0,18.0,7
1,slow,6f176,356.39999997615814,19.0,6
1,fast,6f176,396.7999999523163,1.0,4
2,slow,6f176,347.30000019073486,14.0,5
3,fast,0c402,349.5,9.0,8
2,fast,0c402,368.3000000119209,2.0,5
3,slow,0c402,392.1000000238418,24.0,9
1,slow,0c402,372.8000000119209,19.0,6
3,fast,0c402,396.2000000178814,6.0,7
2,fast,0c402,373.40000000596046,8.0,7
1,slow,0c402,505.6999999880791,22.0,7
2,slow,0c402,360.0000000298023,17.0,6
1,fast,0c402,389.4999999701977,1.0,4
1,fast,0c402,402.0,7.0,6
3,slow,0c402,359.1000000238418,21.0,8
2,slow,0c402,533.0999999940395,20.0,7
2,fast,0c402,810.7999999821187,11.0,8
3,slow,0c402,416.2999999821186,15.0,6
1,slow,0c402,425.8000000119209,16.0,5
1,fast,0c402,42.10000002384186,10.0,7
2,slow,0c402,571.8000000119208,14.0,5
2,fast,0c402,379.3000000119209,5.0,6
3,fast,0c402,367.1999999880791,3.0,6
3,fast,0c402,411.59999999403954,12.0,9
1,slow,0c402,375.1999999880791,13.0,4
3,fast,b8cd1,278.0999999940396,6.0,7
1,slow,b8cd1,473.40000000596046,13.0,4
3,slow,b8cd1,526.9000000059605,21.0,8
3,slow,b8cd1,372.8000000119209,24.0,9
1,fast,b8cd1,421.2000000178814,7.0,6
3,slow,b8cd1,353.30000001192093,15.0,6
2,slow,b8cd1,298.89999997615814,23.0,8
2,slow,b8cd1,276.5,20.0,7
2,fast,b8cd1,240.0,11.0,8
1,slow,b8cd1,351.2000000178814,22.0,7
2,fast,b8cd1,292.80000001192093,8.0,7
3,fast,b8cd1,224.59999999403956,9.0,8
1,fast,b8cd1,371.59999999403954,10.0,7
2,slow,b8cd1,341.9000000059605,17.0,6
1,slow,b8cd1,182.7000000178814,19.0,6
2,fast,1b239,390.6999999880791,14.0,5
2,slow,1b239,397.7000000029802,8.0,7
3,slow,1b239,397.59999999403954,9.0,8
1,fast,1b239,444.7999999970197,13.0,4
1,slow,1b239,393.2999999970197,10.0,7
3,slow,1b239,421.09999999403954,3.0,6
1,fast,1b239,409.0,16.0,5
2,fast,1b239,377.2000000029802,20.0,7
1,slow,1b239,425.89999999105936,1.0,4
3,slow,1b239,441.90000000596046,6.0,7
2,slow,1b239,421.90000000596046,5.0,6
2,fast,1b239,409.4999999850989,23.0,8
3,fast,1b239,401.4999999850989,24.0,9
1,fast,1b239,361.60000000894064,22.0,7
2,slow,1b239,359.2000000178814,2.0,5
2,fast,1b239,381.5,17.0,6
1,slow,1b239,297.20000000298023,7.0,6
1,slow,1b239,392.40000000596046,4.0,5
2,slow,1b239,340.79999999701977,11.0,8
3,fast,1b239,395.10000000894064,18.0,7
3,fast,1b239,501.40000000596046,15.0,6
3,fast,1b239,402.90000000596046,21.0,8
3,slow,93c51,359.0,9.0,8
2,fast,93c51,289.79999999888236,20.0,7
3,fast,93c51,354.50000000186265,21.0,8
1,slow,93c51,353.9000000003725,7.0,6
2,slow,93c51,358.1000000014901,8.0,7
2,slow,93c51,335.59999999962747,5.0,6
2,slow,93c51,369.9000000003725,11.0,8
2,slow,93c51,373.09999999962747,2.0,5
3,slow,93c51,398.49999999813735,6.0,7
3,slow,93c51,390.0,12.0,9
1,slow,93c51,383.20000000111764,1.0,4
1,fast,93c51,365.29999999888236,16.0,5
3,fast,93c51,347.6999999992549,24.0,9
1,fast,93c51,432.20000000111764,22.0,7
2,fast,93c51,356.0,17.0,6
3,fast,93c51,361.3000000007451,15.0,6
1,fast,93c51,447.5,13.0,4
1,slow,93c51,373.4000000003725,10.0,7
1,fast,93c51,364.4000000003725,19.0,6
1,slow,93c51,360.9000000003725,4.0,5
2,slow,b29b4,344.89999997615814,17.0,6
1,fast,b29b4,348.89999997615814,1.0,4
3,slow,b29b4,64.39999997615814,15.0,6
3,slow,b29b4,158.29999995231628,18.0,7
3,slow,b29b4,335.70000004768366,24.0,9
2,slow,b29b4,345.2999999523163,20.0,7
3,slow,b29b4,34.999999940395355,21.0,8
2,fast,b29b4,501.6999999880791,11.0,8
2,slow,b29b4,423.30000007152563,14.0,5
2,fast,b29b4,497.2999999523163,8.0,7
1,fast,b29b4,53.999999940395355,10.0,7
3,fast,b29b4,166.1000000238419,12.0,9
2,fast,b29b4,442.1999999880791,2.0,5
1,slow,b29b4,172.50000005960462,22.0,7
1,slow,b29b4,267.6999999880791,16.0,5
2,fast,b29b4,255.79999995231628,5.0,6
2,slow,b29b4,41.30000001192093,23.0,8
3,fast,b29b4,304.59999996423716,3.0,6
1,slow,b29b4,291.5,13.0,4
2,fast,cf32b,388.2999997138977,20.0,7
2,fast,cf32b,347.90000009536743,17.0,6
1,fast,cf32b,349.0,16.0,5
2,fast,cf32b,472.0,14.0,5
2,slow,cf32b,345.5,5.0,6
3,fast,cf32b,298.6999998092652,24.0,9
1,slow,cf32b,395.7999997138977,10.0,7
2,slow,cf32b,344.40000009536743,8.0,7
1,slow,cf32b,483.0,4.0,5
2,fast,cf32b,416.59999990463257,23.0,8
1,fast,cf32b,342.10000038146967,22.0,7
1,fast,cf32b,422.80000019073486,19.0,6
1,fast,cf32b,406.89999961853033,13.0,4
3,fast,cf32b,379.7999997138977,15.0,6
3,fast,cf32b,394.59999990463257,18.0,7
3,slow,cf32b,261.40000009536743,12.0,9
1,fast,588b8,433.2999999523163,10.0,7
2,fast,588b8,354.50000005960464,8.0,7
1,slow,588b8,350.1000000238418,16.0,5
3,fast,588b8,330.5,3.0,6
1,fast,588b8,482.8000000119209,1.0,4
3,slow,588b8,354.7000000476837,18.0,7
3,slow,588b8,370.9000000357628,21.0,8
2,slow,588b8,465.49999994039536,17.0,6
2,slow,588b8,454.2999999523163,14.0,5
1,slow,588b8,369.3000000119209,19.0,6
